towncode	township	location_town	adcode_district	name_district	location_district	adcode_city	citycode	name_city	location_city
440303001000	桂园街道	114.104757,22.535106	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303002000	黄贝街道	114.136335,22.539189	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303003000	东门街道	114.129414,22.551718	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303004000	翠竹街道	114.138632,22.561336	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303005000	南湖街道	114.118010,22.527148	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303006000	笋岗街道	114.104551,22.557399	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303007000	东湖街道	114.145873,22.594482	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303008000	莲塘街道	114.205744,22.564435	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303009000	东晓街道	114.134272,22.584465	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440303010000	清水河街道	114.078015,22.569380	440303	罗湖区	114.131611,22.548309	440300	0755	深圳市	114.057939,22.543527
440304001000	南园街道	114.095871,22.534280	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304002000	园岭街道	114.096157,22.549124	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304004000	福田街道	114.083682,22.531441	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304005000	沙头街道	113.997343,22.532073	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304006000	香蜜湖街道	113.995895,22.547433	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304007000	梅林街道	114.022447,22.580447	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304008000	莲花街道	114.067744,22.551831	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304009000	华富街道	114.088710,22.569037	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304010000	华强北街道	114.103147,22.540771	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440304011000	福保街道	114.055951,22.499501	440304	福田区	114.055198,22.520922	440300	0755	深圳市	114.057939,22.543527
440305001000	南头街道	113.915981,22.565581	440305	南山区	113.930478,22.533191	440300	0755	深圳市	114.057939,22.543527
440305002000	南山街道	113.916596,22.504565	440305	南山区	113.930478,22.533191	440300	0755	深圳市	114.057939,22.543527
440305003000	沙河街道	113.993598,22.527180	440305	南山区	113.930478,22.533191	440300	0755	深圳市	114.057939,22.543527
440305005000	蛇口街道	113.856864,22.509579	440305	南山区	113.930478,22.533191	440300	0755	深圳市	114.057939,22.543527
440305006000	招商街道	113.897546,22.486723	440305	南山区	113.930478,22.533191	440300	0755	深圳市	114.057939,22.543527
440305007000	粤海街道	113.927970,22.517807	440305	南山区	113.930478,22.533191	440300	0755	深圳市	114.057939,22.543527
440305008000	桃源街道	113.997541,22.554838	440305	南山区	113.930478,22.533191	440300	0755	深圳市	114.057939,22.543527
440305009000	西丽街道	113.927598,22.616048	440305	南山区	113.930478,22.533191	440300	0755	深圳市	114.057939,22.543527
440306001000	新安街道	113.924363,22.588472	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306003000	西乡街道	113.824628,22.544825	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306004000	福永街道	113.871753,22.693746	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306005000	沙井街道	113.802071,22.769320	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306006000	松岗街道	113.881219,22.732360	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306008000	石岩街道	113.935757,22.705331	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306009000	航城街道	113.860973,22.681822	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306010000	福海街道	113.827922,22.703993	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306011000	新桥街道	113.867430,22.698230	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440306012000	燕罗街道	113.908944,22.829659	440306	宝安区	113.883831,22.554986	440300	0755	深圳市	114.057939,22.543527
440307003000	横岗街道	114.211937,22.642433	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307004000	布吉街道	114.123896,22.622182	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307005000	葵涌街道	114.442983,22.663819	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307006000	大鹏街道	114.483550,22.626241	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307007000	南澳街道	114.469095,22.501978	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307008000	平湖街道	114.104146,22.705541	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307009000	坪地街道	114.298750,22.748098	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307011000	龙岗街道	114.200427,22.763267	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307012000	龙城街道	114.252528,22.719658	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307013000	坂田街道	114.076482,22.594279	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307014000	南湾街道	114.165433,22.606650	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307015000	吉华街道	114.092817,22.643535	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307016000	园山街道	114.223532,22.688685	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440307017000	宝龙街道	114.340880,22.733906	440307	龙岗区	114.246884,22.720889	440300	0755	深圳市	114.057939,22.543527
440308001000	梅沙街道	114.306703,22.629837	440308	盐田区	114.236739,22.557001	440300	0755	深圳市	114.057939,22.543527
440308002000	盐田街道	114.220006,22.577782	440308	盐田区	114.236739,22.557001	440300	0755	深圳市	114.057939,22.543527
440308003000	沙头角街道	114.204662,22.566261	440308	盐田区	114.236739,22.557001	440300	0755	深圳市	114.057939,22.543527
440308004000	海山街道	114.233462,22.575602	440308	盐田区	114.236739,22.557001	440300	0755	深圳市	114.057939,22.543527
440309001000	龙华街道	114.008973,22.661775	440309	龙华区	114.04491,22.696735	440300	0755	深圳市	114.057939,22.543527
440309002000	大浪街道	113.973781,22.703370	440309	龙华区	114.04491,22.696735	440300	0755	深圳市	114.057939,22.543527
440309003000	民治街道	114.023942,22.582410	440309	龙华区	114.04491,22.696735	440300	0755	深圳市	114.057939,22.543527
440309004000	观澜街道	114.027839,22.748311	440309	龙华区	114.04491,22.696735	440300	0755	深圳市	114.057939,22.543527
440309005000	观湖街道	114.088337,22.709816	440309	龙华区	114.04491,22.696735	440300	0755	深圳市	114.057939,22.543527
440309006000	福城街道	114.006536,22.746391	440309	龙华区	114.04491,22.696735	440300	0755	深圳市	114.057939,22.543527
440310001000	坪山街道	114.322589,22.690529	440310	坪山区	114.350844,22.708786	440300	0755	深圳市	114.057939,22.543527
440310002000	坑梓街道	114.373088,22.736498	440310	坪山区	114.350844,22.708786	440300	0755	深圳市	114.057939,22.543527
440310003000	马峦街道	114.339793,22.624981	440310	坪山区	114.350844,22.708786	440300	0755	深圳市	114.057939,22.543527
440310004000	碧岭街道	114.314530,22.678233	440310	坪山区	114.350844,22.708786	440300	0755	深圳市	114.057939,22.543527
440310005000	石井街道	114.406438,22.649201	440310	坪山区	114.350844,22.708786	440300	0755	深圳市	114.057939,22.543527
440310006000	龙田街道	114.363539,22.742442	440310	坪山区	114.350844,22.708786	440300	0755	深圳市	114.057939,22.543527
440311001000	公明街道	113.894373,22.819878	440311	光明区	113.94733,22.744136	440300	0755	深圳市	114.057939,22.543527
440311002000	光明街道	113.988789,22.760065	440311	光明区	113.94733,22.744136	440300	0755	深圳市	114.057939,22.543527
440311003000	新湖街道	113.976895,22.765097	440311	光明区	113.94733,22.744136	440300	0755	深圳市	114.057939,22.543527
440311004000	凤凰街道	113.961206,22.714613	440311	光明区	113.94733,22.744136	440300	0755	深圳市	114.057939,22.543527
440311005000	玉塘街道	113.902224,22.696995	440311	光明区	113.94733,22.744136	440300	0755	深圳市	114.057939,22.543527
440311006000	马田街道	113.865169,22.770145	440311	光明区	113.94733,22.744136	440300	0755	深圳市	114.057939,22.543527
